rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,previous_delay_in_minutes,marge_minutes,attente_conducteur
511639,370585,connect,ended,-15.0,563782.0,570.0,136.0,-434.0,0.0
519491,312389,mobile,ended,58.0,545639.0,420.0,140.0,-280.0,0.0
521156,392479,mobile,ended,,537298.0,0.0,,,
525044,349751,mobile,ended,,510607.0,60.0,-113.0,-173.0,0.0
528808,181625,connect,ended,-76.0,557404.0,330.0,-352.0,-682.0,0.0
533670,320824,connect,ended,-6.0,556563.0,630.0,23.0,-607.0,0.0
534827,404169,mobile,ended,-7.0,531158.0,90.0,29.0,-61.0,0.0
535611,397814,mobile,ended,68.0,535512.0,300.0,44.0,-256.0,0.0
535770,352436,mobile,ended,74.0,524703.0,60.0,7.0,-53.0,0.0
537576,397470,mobile,ended,18.0,539005.0,0.0,-29.0,-29.0,0.0
540217,398802,mobile,ended,-988.0,543426.0,720.0,51.0,-669.0,0.0
540479,374684,mobile,ended,12.0,539751.0,0.0,3.0,3.0,3.0
541862,382364,mobile,ended,125.0,540607.0,0.0,1.0,1.0,1.0
542300,307595,mobile,ended,,539897.0,30.0,,,
542374,409676,mobile,ended,50.0,540444.0,180.0,131.0,-49.0,0.0
543328,358772,connect,ended,-9.0,552619.0,240.0,-38.0,-278.0,0.0
543679,225795,connect,ended,64.0,540663.0,540.0,60.0,-480.0,0.0
543768,374169,connect,canceled,,543010.0,210.0,42.0,-168.0,0.0
543808,369230,mobile,ended,75.0,536315.0,60.0,-191.0,-251.0,0.0
546160,352528,connect,canceled,,546578.0,630.0,-536.0,-1166.0,0.0
546477,383309,mobile,ended,16.0,548486.0,660.0,-3.0,-663.0,0.0
547188,231676,mobile,ended,266.0,535868.0,30.0,16.0,-14.0,0.0
548912,411521,mobile,ended,225.0,553683.0,60.0,42.0,-18.0,0.0
550248,382901,mobile,ended,-127.0,545782.0,60.0,-9.0,-69.0,0.0
550723,380886,mobile,ended,,545855.0,120.0,74.0,-46.0,0.0
551069,359880,connect,ended,-22.0,549192.0,180.0,45.0,-135.0,0.0
552330,384657,connect,ended,23.0,554800.0,0.0,-672.0,-672.0,0.0
552342,376619,mobile,ended,-965.0,547312.0,0.0,-77.0,-77.0,0.0
552425,385625,connect,ended,-102.0,550476.0,30.0,-236.0,-266.0,0.0
553367,385783,mobile,ended,24.0,519328.0,150.0,-4.0,-154.0,0.0
554695,402993,mobile,ended,17.0,560722.0,720.0,-33.0,-753.0,0.0
557674,375915,mobile,ended,15.0,550183.0,480.0,,,
558088,245154,connect,ended,-40.0,566170.0,180.0,-2.0,-182.0,0.0
558250,375126,connect,ended,-4.0,549813.0,600.0,-58.0,-658.0,0.0
558525,297962,connect,ended,-256.0,555341.0,30.0,-24.0,-54.0,0.0
559428,289720,connect,ended,-16.0,520878.0,90.0,-42.0,-132.0,0.0
559435,281955,mobile,ended,18.0,553797.0,60.0,-9.0,-69.0,0.0
559781,408776,mobile,ended,44.0,540868.0,0.0,26.0,26.0,26.0
561368,249274,connect,ended,-3.0,558711.0,30.0,10.0,-20.0,0.0
561408,310444,connect,ended,-54.0,545475.0,360.0,54.0,-306.0,0.0
561450,192179,connect,ended,7.0,541144.0,540.0,46.0,-494.0,0.0
563552,241021,connect,ended,25.0,567278.0,60.0,-425.0,-485.0,0.0
564045,381123,mobile,ended,99.0,554558.0,660.0,-13.0,-673.0,0.0
564414,195888,mobile,ended,20.0,564484.0,180.0,-347.0,-527.0,0.0
564500,382884,mobile,ended,69.0,555024.0,420.0,63.0,-357.0,0.0
564627,341431,mobile,canceled,,552005.0,150.0,-88.0,-238.0,0.0
520147,392147,mobile,ended,1.0,536236.0,390.0,3.0,-387.0,0.0
524487,380866,mobile,ended,-15.0,545830.0,120.0,58.0,-62.0,0.0
529239,354515,mobile,ended,10.0,565896.0,360.0,-405.0,-765.0,0.0
566661,390467,connect,ended,-651.0,569297.0,570.0,-451.0,-1021.0,0.0
567120,415953,mobile,ended,27.0,567178.0,150.0,145.0,-5.0,0.0
567278,241021,connect,ended,-425.0,563925.0,240.0,-31.0,-271.0,0.0
567636,376840,connect,ended,101.0,564959.0,0.0,-2.0,-2.0,0.0
568657,317378,connect,canceled,,566412.0,210.0,-129.0,-339.0,0.0
568817,314605,mobile,ended,43.0,565775.0,360.0,8.0,-352.0,0.0
569498,402528,connect,ended,-173.0,562527.0,630.0,-203.0,-833.0,0.0
570350,365926,connect,ended,-55.0,570337.0,60.0,-37.0,-97.0,0.0
570819,353425,connect,ended,-17.0,573393.0,120.0,-551.0,-671.0,0.0
516550,377700,mobile,canceled,,545076.0,720.0,-35.0,-755.0,0.0
522507,390927,connect,ended,183.0,523328.0,510.0,-133.0,-643.0,0.0
527981,358978,connect,ended,-60.0,541898.0,210.0,-45.0,-255.0,0.0
529128,382700,mobile,ended,6.0,506728.0,0.0,-67.0,-67.0,0.0
529233,399528,connect,ended,-53.0,529252.0,480.0,-104.0,-584.0,0.0
573034,227100,mobile,ended,4.0,569554.0,120.0,-15.0,-135.0,0.0
574568,301512,mobile,ended,110.0,572909.0,0.0,13.0,13.0,13.0
574868,371387,mobile,ended,-129.0,571864.0,720.0,-232.0,-952.0,0.0
521865,401475,connect,ended,113.0,514932.0,540.0,36.0,-504.0,0.0
533364,344091,mobile,ended,31.0,536325.0,180.0,-23.0,-203.0,0.0
535519,353425,connect,ended,-166.0,533413.0,0.0,4.0,4.0,4.0
537441,408821,mobile,ended,25.0,541519.0,90.0,95.0,5.0,5.0
